host,variant,run,crit,real_F1,default_F1,chosen,abstained
SysClient0201,fullz,1,m0.3_proc,0.9381,0.9381,DEFAULT,1
SysClient0201,fullz,2,m0.3,0.5914,0.5914,DEFAULT,1
SysClient0201,fullz,2,m0.3_proc,0.5914,0.5914,DEFAULT,1
SysClient0201,TGN_fullz,0,m0.3,0.9298,0.9298,DEFAULT,1
SysClient0201,TGN_fullz,0,m0.3_proc,0.9298,0.9298,DEFAULT,1
SysClient0201,TGN_fullz,1,m0.3,0.9381,0.9381,DEFAULT,1
SysClient0201,TGN_fullz,1,m0.3_proc,0.9381,0.9381,DEFAULT,1
SysClient0201,TGN_fullz,2,m0.3,0.8785,0.8785,DEFAULT,1
SysClient0201,TGN_fullz,2,m0.3_proc,0.8785,0.8785,DEFAULT,1
SysClient0501,fullz,0,m0.3,0.9986,0.9986,DEFAULT,1
SysClient0501,fullz,0,m0.3_proc,0.9986,0.9986,DEFAULT,1
SysClient0501,fullz,1,m0.3,1.0,1.0,DEFAULT,1
SysClient0501,fullz,1,m0.3_proc,1.0,1.0,DEFAULT,1
SysClient0501,fullz,2,m0.3,1.0,1.0,DEFAULT,1
SysClient0501,fullz,2,m0.3_proc,1.0,1.0,DEFAULT,1
SysClient0501,TGN_fullz,0,m0.3,1.0,1.0,DEFAULT,1
SysClient0501,TGN_fullz,0,m0.3_proc,1.0,1.0,DEFAULT,1
SysClient0501,TGN_fullz,1,m0.3,1.0,1.0,DEFAULT,1
SysClient0501,TGN_fullz,1,m0.3_proc,1.0,1.0,DEFAULT,1
SysClient0501,TGN_fullz,2,m0.3,0.9958,0.9958,DEFAULT,1
SysClient0501,TGN_fullz,2,m0.3_proc,0.9958,0.9958,DEFAULT,1
cadets,fullz,0,m0.3,0.0,0.0002,mask:PROCESS@3.0,0
cadets,fullz,0,m0.3_proc,0.0,0.0002,mask:PROCESS@3.0,0
cadets,fullz,1,m0.3,0.9964,0.9976,mask:PROCESS@0.29263228,0
cadets,fullz,1,m0.3_proc,0.9964,0.9976,mask:PROCESS@0.29263228,0
cadets,fullz,2,m0.3,0.9993,0.0046,mask:PROCESS@0.49636158,0
cadets,fullz,2,m0.3_proc,0.9993,0.0046,mask:PROCESS@0.49636158,0
cadets,TGN_fullz,0,m0.3,1.0,1.0,DEFAULT,1
cadets,TGN_fullz,0,m0.3_proc,1.0,1.0,DEFAULT,1
cadets,TGN_fullz,1,m0.3,1.0,1.0,DEFAULT,1
cadets,TGN_fullz,1,m0.3_proc,1.0,1.0,DEFAULT,1
cadets,TGN_fullz,2,m0.3,0.9999,0.9999,DEFAULT,1
cadets,TGN_fullz,2,m0.3_proc,0.9999,0.9999,DEFAULT,1
theia,fullz,0,m0.3,0.9882,0.9882,DEFAULT,1
theia,fullz,0,m0.3_proc,0.9882,0.9882,DEFAULT,1
theia,fullz,1,m0.3,0.9899,0.9899,DEFAULT,1
theia,fullz,1,m0.3_proc,0.9899,0.9899,DEFAULT,1
theia,fullz,2,m0.3,0.9999,0.9999,DEFAULT,1
theia,fullz,2,m0.3_proc,0.9999,0.9999,DEFAULT,1
theia,TGN_fullz,0,m0.3,0.996,0.996,DEFAULT,1
theia,TGN_fullz,0,m0.3_proc,0.996,0.996,DEFAULT,1
theia,TGN_fullz,1,m0.3,0.9999,0.9999,DEFAULT,1
theia,TGN_fullz,1,m0.3_proc,0.9999,0.9999,DEFAULT,1
theia,TGN_fullz,2,m0.3,0.9908,0.9908,DEFAULT,1
theia,TGN_fullz,2,m0.3_proc,0.9908,0.9908,DEFAULT,1
trace,fullz,0,m0.3,0.9999,0.9999,DEFAULT,1
trace,fullz,0,m0.3_proc,0.9999,0.9999,DEFAULT,1
trace,fullz,1,m0.3,1.0,1.0,DEFAULT,1
trace,fullz,1,m0.3_proc,1.0,1.0,DEFAULT,1
trace,fullz,2,m0.3,1.0,1.0,DEFAULT,1
trace,fullz,2,m0.3_proc,1.0,1.0,DEFAULT,1
trace,TGN_fullz,0,m0.3,1.0,1.0,DEFAULT,1
trace,TGN_fullz,0,m0.3_proc,1.0,1.0,DEFAULT,1
trace,TGN_fullz,1,m0.3,1.0,1.0,DEFAULT,1
trace,TGN_fullz,1,m0.3_proc,1.0,1.0,DEFAULT,1
trace,TGN_fullz,2,m0.3,1.0,1.0,DEFAULT,1
trace,TGN_fullz,2,m0.3_proc,1.0,1.0,DEFAULT,1
